23223.0,11.0,3
23224.0,18.0,0
23225.0,8.5,5
23226.0,13.666666666666666,4
23227.0,.,6
23228.0,7.333333333333333,2
23229.0,12.0,1
23230.0,9.0,3
23231.0,16.5,0
23232.0,13.5,5
23233.0,15.5,4
23234.0,16.5,6
23235.0,14.333333333333334,2
23236.0,9.0,1
23237.0,8.333333333333334,3
23238.0,6.5,0
23239.0,9.0,5
23240.0,10.0,4
23243.0,11.0,1
23244.0,7.666666666666667,3
23245.0,11.2,0
23246.0,11.5,5
23247.0,10.0,4
23248.0,12.25,6
23249.0,11.0,2
23250.0,6.333333333333333,1
23251.0,11.8,3
23252.0,8.666666666666666,0
23253.0,9.0,5
23254.0,16.0,4
23255.0,14.333333333333334,6
23256.0,.,2
23257.0,11.0,1
23258.0,12.333333333333334,3
23259.0,6.0,0
23260.0,16.666666666666668,5
23261.0,16.0,4
23262.0,18.0,6
23263.0,.,2
23264.0,9.666666666666666,1
23265.0,15.0,3
23266.0,23.0,0
23267.0,6.0,5
23268.0,18.0,4
23269.0,.,6
23270.0,17.0,2
23271.0,17.0,1
23272.0,17.0,3
23273.0,12.0,0
23274.0,.,5
23275.0,16.0,4
23276.0,0.0,6
23277.0,3.5,2
23278.0,.,1
23279.0,21.0,3
23281.0,11.2,5
23282.0,14.0,4
23283.0,10.333333333333334,6
23284.0,22.0,2
23285.0,17.0,1
23286.0,17.0,3
23288.0,14.5,5
23289.0,10.25,4
23290.0,16.0,6
23291.0,15.0,2
23292.0,11.666666666666666,1
23293.0,12.666666666666666,3
23294.0,7.5,0
23295.0,7.5,5
23297.0,0.0,6
23298.0,13.0,2
23299.0,16.75,1
23300.0,7.333333333333333,3
23301.0,14.5,0
23302.0,11.2,5
23303.0,14.5,4
23304.0,4.0,6
23305.0,19.0,2
23306.0,11.0,1
23307.0,16.75,3
23308.0,0.0,0
23309.0,6.0,5
23310.0,11.5,4
23311.0,11.5,6
23312.0,17.333333333333332,2
23313.0,14.333333333333334,1
23314.0,14.5,3
23315.0,23.0,0
23316.0,10.75,5
23317.0,13.0,4
23318.0,9.0,6
23320.0,13.0,1
23321.0,.,3
23322.0,9.0,0
23323.0,6.5,5
23324.0,18.5,4
23325.0,15.666666666666666,6
23326.0,15.75,2
23327.0,13.5,1
23328.0,10.5,3
23329.0,.,0
23330.0,.,5
23331.0,0.0,4
23332.0,21.0,6
23333.0,2.0,2
23334.0,2.0,1
23335.0,11.5,3
23336.0,19.0,0
23337.0,5.5,5
23338.0,10.5,4
23340.0,4.0,2
23341.0,6.333333333333333,1
23342.0,7.0,3
23343.0,15.0,0
23344.0,10.0,5
23345.0,21.0,4
23347.0,14.5,2
23348.0,18.0,1
23349.0,14.0,3
23350.0,9.666666666666666,0
23352.0,13.0,4
23353.0,11.5,6
23354.0,16.0,2
23355.0,15.333333333333334,1
23356.0,11.0,3
